,date,epsActual,epsEstimated,eps_surprise,ticker
6,2024-10-22,1.19,1.18,0.010000000000000009,VZ
5,2025-01-24,1.1,1.11,-0.010000000000000009,VZ
4,2025-04-22,1.19,1.15,0.040000000000000036,VZ
3,2025-07-21,1.22,1.19,0.030000000000000027,VZ
2,2025-10-28,,1.2,,VZ
116,1997-07-10,-0.00052,-0.00046,-5.999999999999994e-05,AMZN
114,1997-10-27,-0.0015,-0.00132,-0.00018000000000000004,AMZN
113,1998-01-22,-0.0015,-0.00135,-0.00014999999999999996,AMZN
112,1998-04-27,-0.002,-0.00176,-0.00023999999999999998,AMZN
111,1998-07-22,-0.004,-0.00395,-4.99999999999997e-05,AMZN
110,1998-10-28,-0.0075,-0.00649,-0.0010099999999999996,AMZN
109,1999-01-26,-0.0035,-0.00286,-0.0006399999999999999,AMZN
108,1999-04-28,-0.00983,-0.00819,-0.0016400000000000008,AMZN
107,1999-07-21,-0.02141,-0.02131,-9.99999999999994e-05,AMZN
106,1999-10-27,-0.02964,-0.02756,-0.0020799999999999985,AMZN
105,2000-02-02,-0.03,-0.02646,-0.003539999999999998,AMZN
104,2000-04-26,-0.02,-0.01927,-0.0007300000000000015,AMZN
103,2000-07-26,-0.02,-0.01883,-0.001170000000000001,AMZN
102,2000-10-24,-0.03398,-0.03008,-0.003900000000000004,AMZN
101,2001-01-30,-0.0125,-0.01219,-0.00031000000000000125,AMZN
100,2001-04-24,-0.03128,-0.02665,-0.004630000000000002,AMZN
99,2001-07-23,-0.0234,-0.0184,-0.005000000000000001,AMZN
98,2001-10-23,-0.02308,-0.02302,-6.0000000000001025e-05,AMZN
97,2002-01-22,0.0045,0.00136,0.0031399999999999996,AMZN
96,2002-04-23,-0.00321,-0.0017,-0.0015100000000000003,AMZN
95,2002-07-23,-0.01241,-0.00682,-0.0055899999999999995,AMZN
94,2002-10-24,-0.00462,-0.00231,-0.00231,AMZN
93,2003-01-23,0.0095,0.00715,0.0023499999999999997,AMZN
92,2003-04-24,-0.0013,-0.00055,-0.0007499999999999999,AMZN
91,2003-07-22,-0.0055,-0.00334,-0.0021599999999999996,AMZN
90,2003-10-21,0.00184,0.00163,0.00021000000000000012,AMZN
89,2004-01-27,0.0145,0.01447,3.0000000000000512e-05,AMZN
88,2004-04-22,0.01306,0.01117,0.001890000000000001,AMZN
87,2004-07-22,0.00894,0.00942,-0.0004799999999999995,AMZN
86,2004-10-21,0.00635,0.00664,-0.0002900000000000003,AMZN
85,2005-02-02,0.02,0.02278,-0.0027800000000000012,AMZN
84,2005-04-26,0.00613,0.00775,-0.00162,AMZN
83,2005-07-26,0.00612,0.00537,0.0007499999999999998,AMZN
82,2005-10-25,0.0035,0.00497,-0.0014699999999999995,AMZN
81,2006-02-02,0.02,0.00906,0.01094,AMZN
80,2006-04-25,0.00599,0.00585,0.0001399999999999995,AMZN
79,2006-07-25,0.00258,0.00335,-0.0007700000000000003,AMZN
78,2006-10-24,0.00224,0.00149,0.0007499999999999998,AMZN
77,2007-02-01,0.0115,0.01057,0.0009300000000000003,AMZN
76,2007-04-24,0.01321,0.00784,0.00537,AMZN
75,2007-07-24,0.00922,0.00766,0.0015600000000000006,AMZN
74,2007-10-23,0.00941,0.00899,0.00042000000000000023,AMZN
73,2008-01-30,0.02,0.01987,0.00013000000000000164,AMZN
72,2008-04-23,0.02,0.01902,0.0009800000000000017,AMZN
71,2008-07-23,0.02,0.01408,0.00592,AMZN
70,2008-10-22,0.01353,0.01234,0.00119,AMZN
69,2009-01-29,0.03,0.02252,0.0074800000000000005,AMZN
68,2009-04-23,0.02,0.01508,0.004920000000000001,AMZN
67,2009-07-23,0.02,0.01958,0.00042000000000000023,AMZN
66,2009-10-22,0.02,0.01486,0.0051400000000000005,AMZN
65,2010-01-28,0.04,0.03391,0.006089999999999998,AMZN
64,2010-04-22,0.03,0.02751,0.002489999999999999,AMZN
63,2010-07-22,0.02,0.02394,-0.003939999999999999,AMZN
62,2010-10-21,0.03,0.02796,0.00204,AMZN
61,2011-01-27,0.05,0.04853,0.001470000000000006,AMZN
60,2011-04-26,0.02,0.02752,-0.007519999999999999,AMZN
59,2011-07-26,0.02,0.01705,0.0029500000000000012,AMZN
58,2011-10-25,0.00683,0.01192,-0.00509,AMZN
57,2012-01-31,0.02,0.00881,0.01119,AMZN
56,2012-04-26,0.01413,0.00359,0.01054,AMZN
55,2012-07-26,0.00076,0.00012,0.00064,AMZN
54,2012-10-25,-0.01,-0.00343,-0.00657,AMZN
53,2013-01-29,0.01,0.01327,-0.0032700000000000003,AMZN
52,2013-04-25,0.01,0.00433,0.0056700000000000006,AMZN
51,2013-07-25,-0.00077,-0.00032,-0.00044999999999999993,AMZN
50,2013-10-24,-0.00449,-0.00439,-0.00010000000000000026,AMZN
49,2014-01-30,0.03,0.03893,-0.00893,AMZN
48,2014-04-24,0.01,0.00991,8.99999999999998e-05,AMZN
47,2014-07-24,-0.01,-0.00539,-0.00461,AMZN
46,2014-10-23,-0.05,-0.03868,-0.011320000000000004,AMZN
45,2015-01-29,0.02,0.00746,0.01254,AMZN
44,2015-04-23,-0.01,-0.00981,-0.00019000000000000093,AMZN
43,2015-07-23,0.01,0.00296,0.00704,AMZN
42,2015-10-22,0.01,0.00307,0.00693,AMZN
41,2016-01-28,0.05,0.08,-0.03,AMZN
40,2016-04-28,0.05,0.02756,0.02244,AMZN
39,2016-07-28,0.09,0.06,0.03,AMZN
38,2016-10-27,0.03,0.04494,-0.014940000000000002,AMZN
37,2017-02-02,0.08,0.07,0.009999999999999995,AMZN
36,2017-04-27,0.07,0.05,0.020000000000000004,AMZN
35,2017-07-27,0.02,0.07,-0.05,AMZN
34,2017-10-26,0.03,0.00171,0.02829,AMZN
33,2018-02-01,0.11,0.09,0.020000000000000004,AMZN
32,2018-04-26,0.16,0.06,0.1,AMZN
31,2018-07-26,0.25,0.13,0.12,AMZN
30,2018-10-25,0.29,0.16,0.12999999999999998,AMZN
29,2019-01-31,0.3,0.28,0.019999999999999962,AMZN
28,2019-04-25,0.35,0.24,0.10999999999999999,AMZN
27,2019-07-25,0.26,0.28,-0.020000000000000018,AMZN
26,2019-10-24,0.21,0.23,-0.020000000000000018,AMZN
25,2020-01-30,0.32,0.2,0.12,AMZN
24,2020-04-30,0.25,0.31,-0.06,AMZN
23,2020-07-30,0.52,0.07,0.45,AMZN
